"id","type","boatClass","make","model","year","condition","length_ft","beam_ft","dryWeight_lb","hullMaterial","fuelType","numEngines","totalHP","maxEngineYear","minEngineYear","engineCategory","price","sellerId","city","state","zip","created_date","created_month","created_year"
7263546,"power","power-fresh","G3","Sportsman",2020,"new",16,NA,NA,"other","other",1,0,NA,NA,"",19495,32348,"Kingston","OK",NA,"2019-10-25",10,2019
6898837,"power","power-pontoon","Sylvan","8522 LZ MIRAGE",2019,"new",22,102,NA,"aluminum","other",1,0,NA,NA,"",30990,34563,"Lincolnton","GA",NA,"2018-11-02",11,2018
5015919,"power","power-motor","Leopard","Express Motor Yacht",2007,"used",75,17.5,NA,"fiberglass","diesel",2,2366,2007,2007,"inboard",949000,61420,"Miami","FL",NA,"2015-03-12",3,2015
7229055,"power","power-pontoon","Sun Tracker","Fishin' Barge 20 DLX",2017,"used",20,NA,NA,"aluminum","other",1,0,NA,NA,"",24000,140670,"Houston","TX","77586","2019-09-24",9,2019
7164747,"power","power-fresh","Caravelle boat group","206 BAY",2018,"new",20,NA,NA,"other","other",1,0,NA,NA,"",38990,164670,"Ridgeland","SC",NA,"2019-07-30",7,2019
7004820,"power","power-aluminum","Tracker","Super Guide V-16 SC",2019,"new",16,6.33,875,"aluminum","",1,50,NA,NA,"outboard",17195,12945,"Perry","GA","31069","2019-03-04",3,2019
6964640,"power","power-bass","Skeeter","FX 20",2014,"used",20.17,7.92,2075,"composite","gasoline",1,250,NA,NA,"outboard-4s",47900,100688,"Oklahoma City","OK","73127","2019-01-22",1,2019
7125278,"power","power-pontoon","Sun Tracker","Fishin' Barge 22 XP3",2019,"new",24.17,8.5,2680,"aluminum","",1,150,NA,NA,"outboard",40140,50926,"Waco","TX","76710","2019-06-24",6,2019
7256546,"power","power-bass","Stratos","201 PRO",1998,"used",20,NA,NA,"fiberglass","other",1,0,NA,NA,"",11995,34519,"Bloomsburg","PA",NA,"2019-10-19",10,2019
6823785,"power","power-center","Mako","334 CC",2019,"new",33.33,9.83,10905,"fiberglass","gasoline",2,700,2019,2019,"outboard",264900,1041,"Denham Springs","LA","70726","2018-08-28",8,2018
7045520,"power","power-pontoon","Sun Tracker","Fishin' Barge 24 DLX",2019,"new",26.17,8.5,2095,"aluminum","gasoline",1,115,NA,NA,"outboard",34850,144237,"Moncks Corner","SC","29461","2019-04-11",4,2019
